Month,Name,Route,Ridership,Miles,Hours,Passenger/hr
March,Sequoyah Hills,10,0,0,0,0
March,Kingston Pike,11,20682,25437,2131,9.71
March,Western Ave,12,13856,16305,1231,11.26
March,Beaumont,13,842,1722,126,6.7
March,Cedar Bluff Connector,16,2843,4426,348,8.16
March,Sutherland/Bearden,17,7243,8635,666,10.88
March,Lakeshore/Lonas Connector,19,0,0,0,0
March,Central Ave/Clinton Hwy,20,10078,11739,724,13.91
March,Lincoln Park,21,2637,4155,326,8.05
March,Broadway,22,22099,17174,1280,17.26
March,Millertown,23,3862,7047,592,6.52
March,Inskip/Breda Rd,24,2544,5883,425,5.98
March,Parkridge,30,2803,3103,244,11.49
March,Magnolia Ave.,31,16980,12265,1032,16.46
March,Dandridge,32,5398,6672,428,12.62
March,M.LK.,33,3052,6656,521,5.86
March,Burlington,34,5106,9755,667,7.66
March,South Knoxville,40,2376,9783,695,3.42
March,Chapman Hwy,41,15064,12891,789,19.1
March,UT/Ft Sanders Hospitals,42,3732,3198,399,9.35
March,University Park,44,3338,2415,278,11.99
March,Vestal,45,3876,9083,634,6.11
March,Crosstown,90,5812,6014,1011,5.75